"url","valid"
"https://www.google.com/url?q=https://www.nordstrom.com/browse/impact/people/our-communities/community-grants?msockid%3D158b15af7ce86f10153d03e97d526e05&sa=D&source=editors&ust=1779823190797340&usg=AOvVaw0E8XfYaYG0ERsKzg9sIBgP",TRUE
"https://www.google.com/url?q=https://www.alaskaair.com/content/about-us/social-responsibility/corporate-giving?srsltid%3DAfmBOoqYBbqXrbaIuddLmDPtCy86YBUpMg1_3_58z4jS15Q7265-7qZn&sa=D&source=editors&ust=1779823190797800&usg=AOvVaw0fEGgfXitVRueafN2JZji6",TRUE
"https://www.google.com/url?q=https://www.reifund.org/?utm_source%3Dcopilot.com&sa=D&source=editors&ust=1779823190798185&usg=AOvVaw2fqGznmaE4_HeDZYEskE40",TRUE
"https://www.google.com/url?q=https://www.zillow.com/news/zillow-and-housing-connector-getting-people-home/&sa=D&source=editors&ust=1779823190798588&usg=AOvVaw3pXYumwUdbD9iVSeOeRhiv",TRUE
"https://www.google.com/url?q=https://www.expediagroup.com/en-us/our-story/impact-and-sustainability&sa=D&source=editors&ust=1779823190798964&usg=AOvVaw2fnqn-sFm-Mi95IZIfheZ_",TRUE
"https://www.google.com/url?q=https://www.allenphilanthropies.org/&sa=D&source=editors&ust=1779823190799366&usg=AOvVaw3UxZVYRMzE5s021kHj1RrC",TRUE
"https://www.google.com/url?q=https://www.gatesfoundation.org/about/how-we-work/grant-opportunities&sa=D&source=editors&ust=1779823190799844&usg=AOvVaw0_1wliwyDtz9oQfR6IyADM",TRUE
"https://www.google.com/url?q=https://www.medinafoundation.org/?utm_source%3Dcopilot.com&sa=D&source=editors&ust=1779823190800265&usg=AOvVaw0y9L_CK_9JFtgca2SXgEyI",TRUE
"https://www.google.com/url?q=https://www.benbcheneyfoundation.org/?utm_source%3Dcopilot.com&sa=D&source=editors&ust=1779823190800659&usg=AOvVaw1l0XF0mASrQeMHl_tth4R0",TRUE
"https://www.google.com/url?q=http://www.thefosterfoundation.org/Grants.htm&sa=D&source=editors&ust=1779823190801017&usg=AOvVaw36n910M6wSb6sMbHQWi3RL",TRUE
"https://www.google.com/url?q=https://grouphealthfoundation.org/?utm_source%3Dcopilot.com&sa=D&source=editors&ust=1779823190801399&usg=AOvVaw1BaZEuT1lkKp5fg_N0GWXf",TRUE
"https://www.google.com/url?q=https://wawomensfdn.org/?utm_source%3Dcopilot.com&sa=D&source=editors&ust=1779823190801813&usg=AOvVaw04ZXbIox6Ci4UYqkMOqgB5",TRUE
